X;Y;region;departement;commune;site;start;end;period;theme;type
831470;6881060;Champagne-Ardenne;Marne;Dampierre-le-Château;Liévaux;2001-07-30;2002-01-19;#Néolithique#Protohistoire;#Habitats, architecture, édifices;fouille
448620;6911591;Basse-Normandie;Calvados;Thaon;Éléazar;2002-01-20;2002-01-24;#Protohistoire;;fouille
938295;6671971;Franche-Comté;Doubs;Ornans;La Fontaine au Malade;2002-01-09;2002-01-25;#Moyen Âge;;fouille
844916,38;6838098,42;Champagne-Ardenne;Haute-Marne;Saint-Dizier;Les Crassées;2001-12-17;2002-02-22;#Moyen Âge;#Arts, biens de prestige#Cultes et pratiques funéraires#Organisation sociale et politique;fouille
525664;6701622;Centre;Indre-et-Loire;Tours;Lycée Descartes;1999-09-01;2002-02-28;#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Organisation sociale et politique;fouille
927843;6686329;Franche-Comté;Doubs;Besançon;Parking des Remparts dérasés;2001-06-01;2002-02-28;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace;fouille
686536;6863407;Ile-de-France;Seine-et-Marne;Magny-le-Hongre;Courtalin;2001-12-03;2002-02-28;#Protohistoire#Antiquité#Moyen Âge;;fouille
679684;6874182;Ile-de-France;Seine-et-Marne;Messy;La Mare au Roi;2001-12-01;2002-03-01;#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
679304;6872103;Ile-de-France;Seine-et-Marne;Claye-Souilly;Les Monts Gardés 3;2001-12-01;2002-03-21;#Protohistoire#Antiquité;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat;fouille
688152,561;7024497,07;Nord-Pas-de-Calais;Pas-de-Calais;Saint-Laurent-Blangy;ZAC Actiparc;2001-04-01;2002-04-01;#Protohistoire#Antiquité;;fouille
525467;6701604;Centre;Indre-et-Loire;Tours;Hôtel de police Nord;2001-11-01;2002-04-30;#Antiquité#Moyen Âge;#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
575110;6690727;Centre;Loir-et-Cher;Saint-Romain-sur-Cher;Les Cormins;2001-11-15;2002-04-30;#Néolithique#Protohistoire#Antiquité#Moyen Âge;;fouille
788030;6894820;Champagne-Ardenne;Marne;Val-de-Vesle;Moncheux;2001-11-13;2002-05-01;#Protohistoire#Antiquité#Moderne, Contemporain;#Arts, biens de prestige#Cultes et pratiques funéraires;fouille
678997;6872366;Ile-de-France;Seine-et-Marne;Claye-Souilly;Les Monts Gardés 1;2002-03-25;2002-05-17;#Néolithique#Protohistoire#Antiquité#Moyen Âge;#Habitats, architecture, édifices;fouille
931300;6881000;Lorraine;Moselle;Sillegny;Rue du Stade;2002-04-02;2002-05-24;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
766975;6904970;Champagne-Ardenne;Marne;Vrigny;Les Robogniers 1;2001-12-02;2002-05-30;#Néolithique#Protohistoire#Antiquité#Moderne, Contemporain;#Arts, biens de prestige#Cultes et pratiques funéraires;fouille
666950;6837818;Ile-de-France;Seine-et-Marne;Lieusaint;Jardin de la Méridienne;2002-01-01;2002-06-01;#Protohistoire#Antiquité;#Habitats, architecture, édifices#Peuplement, occupation espace;fouille
